Gene,Fold_Change,P_Value,Significant,log2FC,-log10P
201454_s_at,,,False,,
201455_s_at,,,False,,
201456_s_at,,,False,,
201457_x_at,,,False,,
201458_s_at,,,False,,
201459_at,,,False,,
201460_at,,,False,,
201461_s_at,,,False,,
201462_at,,,False,,
201463_s_at,,,False,,
201464_x_at,,,False,,
201465_s_at,,,False,,
201466_s_at,,,False,,
201467_s_at,,,False,,
201468_s_at,,,False,,
201469_s_at,,,False,,
201470_at,,,False,,
201471_s_at,,,False,,
201472_at,,,False,,
201473_at,,,False,,
201474_s_at,,,False,,
201475_x_at,,,False,,
201476_s_at,,,False,,
201477_s_at,,,False,,
201478_s_at,,,False,,
201479_at,,,False,,
201480_s_at,,,False,,
201481_s_at,,,False,,
201482_at,,,False,,
201483_s_at,,,False,,
201484_at,,,False,,
201485_s_at,,,False,,
201486_at,,,False,,
201487_at,,,False,,
201488_x_at,,,False,,
201489_at,,,False,,
201490_s_at,,,False,,
201491_at,,,False,,
201492_s_at,,,False,,
201493_s_at,,,False,,
201494_at,,,False,,
201495_x_at,,,False,,
201496_x_at,,,False,,
201497_x_at,,,False,,
201498_at,,,False,,
201499_s_at,,,False,,
201500_s_at,,,False,,
201501_s_at,,,False,,
201502_s_at,,,False,,
201503_at,,,False,,
201504_s_at,,,False,,
201505_at,,,False,,
201506_at,,,False,,
201507_at,,,False,,
201508_at,,,False,,
201509_at,,,False,,
201510_at,,,False,,
201511_at,,,False,,
201512_s_at,,,False,,
201513_at,,,False,,
201514_s_at,,,False,,
201515_s_at,,,False,,
201516_at,,,False,,
201517_at,,,False,,
201518_at,,,False,,
201519_at,,,False,,
201520_s_at,,,False,,
201521_s_at,,,False,,
201522_x_at,,,False,,
201523_x_at,,,False,,
201524_x_at,,,False,,
201525_at,,,False,,
201526_at,,,False,,
201527_at,,,False,,
201528_at,,,False,,
201529_s_at,,,False,,
201530_x_at,,,False,,
201531_at,,,False,,
201532_at,,,False,,
201533_at,,,False,,
201534_s_at,,,False,,
201535_at,,,False,,
201536_at,,,False,,
201537_s_at,,,False,,
201538_s_at,,,False,,
201539_s_at,,,False,,
201540_at,,,False,,
201541_s_at,,,False,,
201542_at,,,False,,
201543_s_at,,,False,,
201544_x_at,,,False,,
201545_s_at,,,False,,
201546_at,,,False,,
201547_at,,,False,,
201548_s_at,,,False,,
201549_x_at,,,False,,
201550_x_at,,,False,,
201551_s_at,,,False,,
201552_at,,,False,,
201553_s_at,,,False,,
201554_x_at,,,False,,
201555_at,,,False,,
201556_s_at,,,False,,
201557_at,,,False,,
201558_at,,,False,,
201559_s_at,,,False,,
201560_at,,,False,,
201561_s_at,,,False,,
201562_s_at,,,False,,
201563_at,,,False,,
201564_s_at,,,False,,
201565_s_at,,,False,,
201566_x_at,,,False,,
201567_s_at,,,False,,
201568_at,,,False,,
201569_s_at,,,False,,
201570_at,,,False,,
201571_s_at,,,False,,
201572_x_at,,,False,,
201573_s_at,,,False,,
201574_at,,,False,,
201575_at,,,False,,
201576_s_at,,,False,,
201577_at,,,False,,
201578_at,,,False,,
201579_at,,,False,,
201580_s_at,,,False,,
201581_at,,,False,,
201582_at,,,False,,
201583_s_at,,,False,,
201584_s_at,,,False,,
201585_s_at,,,False,,
201586_s_at,,,False,,
201587_s_at,,,False,,
201588_at,,,False,,
201589_at,,,False,,
201590_x_at,,,False,,
201591_s_at,,,False,,
201592_at,,,False,,
201593_s_at,,,False,,
201594_s_at,,,False,,
201595_s_at,,,False,,
201596_x_at,,,False,,
201597_at,,,False,,
201598_s_at,,,False,,
201599_at,,,False,,
201600_at,,,False,,
201601_x_at,,,False,,
201602_s_at,,,False,,
201603_at,,,False,,
201604_s_at,,,False,,
201605_x_at,,,False,,
201606_s_at,,,False,,
201607_at,,,False,,
